施設名称	年度	最小年齢	最大年齢	入所可能人数	空き人数	指数	階層	備考	標準地域コード
ウィズブック保育園大森海岸	2017	0	0	""	3	40	D15	""	http://statdb.nstac.go.jp/lod/sac/C13109
ウィズブック保育園大森海岸	2017	1	2	""	2	40	D13	""	http://statdb.nstac.go.jp/lod/sac/C13109
うみのくに保育園中延	2017	0	0	""	4	40	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
うみのくに保育園中延	2017	1	2	""	0	40	D24	""	http://statdb.nstac.go.jp/lod/sac/C13109
うみのくに保育園ふどうまえ	2017	0	0	""	3	40	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
うみのくに保育園ふどうまえ	2017	1	2	""	2	43	D21	""	http://statdb.nstac.go.jp/lod/sac/C13109
おうちおおいまち	2017	0	0	""	4	40	D11	""	http://statdb.nstac.go.jp/lod/sac/C13109
おうちおおいまち	2017	1	2	""	0	40	D14	""	http://statdb.nstac.go.jp/lod/sac/C13109
おうち保育園ごたんだ	2017	0	0	""	3	40	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
おうち保育園ごたんだ	2017	1	2	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
五反田せせらぎ	2017	0	0	""	3	40	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
五反田せせらぎ	2017	1	2	""	1	40	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
こどもヶ丘保育園大井町園	2017	0	0	""	1	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
こどもヶ丘保育園大井町園	2017	1	2	""	0	40	D14	""	http://statdb.nstac.go.jp/lod/sac/C13109
サニーサイドとごし	2017	0	0	""	2	40	D15	""	http://statdb.nstac.go.jp/lod/sac/C13109
サニーサイドとごし	2017	1	2	""	0	40	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
サニーサイドにしおおい	2017	0	0	""	0	40	D20	""	http://statdb.nstac.go.jp/lod/sac/C13109
サニーサイドにしおおい	2017	1	2	""	0	25	C	""	http://statdb.nstac.go.jp/lod/sac/C13109
しいのみ	2017	0	0	""	4	36	D11	""	http://statdb.nstac.go.jp/lod/sac/C13109
しいのみ	2017	1	2	""	0	40	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
チャイルドマインダー荏原中延	2017	0	0	""	3	40	D14	""	http://statdb.nstac.go.jp/lod/sac/C13109
チャイルドマインダー荏原中延	2017	1	2	""	1	42	D8	""	http://statdb.nstac.go.jp/lod/sac/C13109
チャイルドマインダー西五反田	2017	0	0	""	3	40	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
チャイルドマインダー西五反田	2017	1	2	""	1	41	D21	""	http://statdb.nstac.go.jp/lod/sac/C13109
チャイルドマインダー武蔵小山	2017	0	0	""	2	40	D12	""	http://statdb.nstac.go.jp/lod/sac/C13109
チャイルドマインダー武蔵小山	2017	1	2	""	1	40	D5	""	http://statdb.nstac.go.jp/lod/sac/C13109
ナーサリーおひさま	2017	0	0	""	2	40	D12	""	http://statdb.nstac.go.jp/lod/sac/C13109
ナーサリーおひさま	2017	1	2	""	0	40	D13	""	http://statdb.nstac.go.jp/lod/sac/C13109
はぐはぐキッズ荏原町	2017	0	0	""	3	40	D14	""	http://statdb.nstac.go.jp/lod/sac/C13109
はぐはぐキッズ荏原町	2017	1	2	""	0	39	D8	""	http://statdb.nstac.go.jp/lod/sac/C13109
はぐはぐキッズ西大井	2017	0	0	""	1	40	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
はぐはぐキッズ西大井	2017	1	2	""	0	40	D16	""	http://statdb.nstac.go.jp/lod/sac/C13109
保育ﾙｰﾑClover西小山園	2017	0	0	""	4	40	D13	""	http://statdb.nstac.go.jp/lod/sac/C13109
保育ﾙｰﾑClover西小山園	2017	1	2	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
星のおうち戸越銀座	2017	0	0	""	2	40	D17	""	http://statdb.nstac.go.jp/lod/sac/C13109
星のおうち戸越銀座	2017	1	2	""	0	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
まちの保育園えばら	2017	0	0	""	3	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
まちの保育園えばら	2017	1	2	""	1	41	D22	""	http://statdb.nstac.go.jp/lod/sac/C13109
めるへんキッズ戸越	2017	0	0	""	2	37	C	""	http://statdb.nstac.go.jp/lod/sac/C13109
めるへんキッズ戸越	2017	1	2	""	0	38	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
